,movieId,title,genres
0,1259,Stand by Me (1986),Adventure|Drama
1,231,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy
2,69,Friday (1995),Comedy
3,2797,Big (1988),Comedy|Drama|Fantasy|Romance
4,1974,Friday the 13th (1980),Horror|Mystery|Thriller
5,1387,Jaws (1975),Action|Horror
6,104,Happy Gilmore (1996),Comedy
7,2327,Tales from the Darkside: The Movie (1990),Fantasy|Horror|Thriller
8,785,Kingpin (1996),Comedy
9,2396,Shakespeare in Love (1998),Comedy|Drama|Romance
10,1895,Can't Hardly Wait (1998),Comedy|Drama|Romance
11,223,Clerks (1994),Comedy
12,333,Tommy Boy (1995),Comedy
13,3253,Wayne's World (1992),Comedy
14,1923,There's Something About Mary (1998),Comedy|Romance
15,140110,The Intern (2015),Comedy
16,8869,First Daughter (2004),Comedy|Romance
17,96079,Skyfall (2012),Action|Adventure|Thriller|IMAX
18,91529,"Dark Knight Rises, The (2012)",Action|Adventure|Crime|IMAX
19,7458,Troy (2004),Action|Adventure|Drama|War
