,movieId,title,genres
0,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
1,79132,Inception (2010),Action|Crime|Drama|Mystery|Sci-Fi|Thriller|IMAX
2,162414,Moonlight,Drama
3,1573,Face/Off (1997),Action|Crime|Drama|Thriller
4,89745,"Avengers, The (2012)",Action|Adventure|Sci-Fi|IMAX
5,122904,Deadpool (2016),Action|Adventure|Comedy|Sci-Fi
6,59315,Iron Man (2008),Action|Adventure|Sci-Fi
7,109487,Interstellar (2014),Sci-Fi|IMAX
8,2571,"Matrix, The (1999)",Action|Sci-Fi|Thriller
9,68954,Up (2009),Adventure|Animation|Children|Drama
10,116797,The Imitation Game (2014),Drama|Thriller|War
11,115713,Ex Machina (2015),Drama|Sci-Fi|Thriller
12,112852,Guardians of the Galaxy (2014),Action|Adventure|Sci-Fi
13,318,"Shawshank Redemption, The (1994)",Crime|Drama
14,102125,Iron Man 3 (2013),Action|Sci-Fi|Thriller|IMAX
15,134130,The Martian (2015),Adventure|Drama|Sci-Fi
16,122892,Avengers: Age of Ultron (2015),Action|Adventure|Sci-Fi
17,122882,Mad Max: Fury Road (2015),Action|Adventure|Sci-Fi|Thriller
18,1193,One Flew Over the Cuckoo's Nest (1975),Drama
19,3567,Bossa Nova (2000),Comedy|Drama|Romance
