userId,Gender,Age,Occupation
1001,F,Under18,K-12student
1002,M,56+,self-employed
1003,M,25-34,scientist
1004,M,45-49,executive/managerial
1005,M,25-34,writer
1006,F,50-55,homemaker
1007,M,35-44,academic/educator
1008,M,25-34,programmer
1009,M,25-34,technician/engineer
1010,F,35-44,academic/educator
1011,F,25-34,academic/educator
1012,M,25-34,programmer
1013,M,45-49,academic/educator
1014,M,35-44,other
1015,M,25-34,executive/managerial
1016,F,35-44,other
1017,M,50-55,academic/educator
1018,F,18-24,clerical/admin
1019,M,Under18,K-12student
1020,M,25-34,sales/marketing
1021,M,18-24,self-employed
1022,M,18-24,scientist
1023,M,35-44,other
1024,F,25-34,executive/managerial
1025,M,18-24,college/grad student
1026,M,25-34,executive/managerial
1027,M,25-34,lawyer
1028,F,25-34,academic/educator
1029,M,35-44,executive/managerial
1030,F,35-44,executive/managerial
1031,M,56+,executive/managerial
1032,F,25-34,other
1033,M,45-49,clerical/admin
1034,F,18-24,other
1035,M,45-49,academic/educator
1036,M,25-34,clerical/admin
1037,F,25-34,homemaker
1038,F,18-24,college/grad student
1039,M,18-24,college/grad student
1040,M,45-49,other
1041,F,18-24,college/grad student
1042,M,25-34,farmer
1043,M,25-34,programmer
1044,M,45-49,technician/engineer
1045,F,45-49,self-employed
1046,M,18-24,unemployed
1047,M,18-24,college/grad student
1048,M,25-34,college/grad student
1049,M,18-24,programmer
1050,F,25-34,artist
1051,F,Under18,K-12student
1052,M,18-24,college/grad student
1053,M,25-34,other
1054,M,50-55,academic/educator
1055,F,35-44,programmer
1056,M,35-44,writer
1057,M,18-24,unemployed
1058,M,25-34,artist
1059,F,50-55,academic/educator
1060,M,50-55,academic/educator
1061,M,25-34,technician/engineer
1062,F,35-44,clerical/admin
1063,M,18-24,college/grad student
1064,M,18-24,academic/educator
1065,M,35-44,programmer
1066,M,25-34,tradesman/craftsman
1067,F,50-55,customer_service
1068,M,18-24,college/grad student
1069,F,25-34,academic/educator
1070,M,18-24,college/grad student
1071,M,25-34,sales/marketing
1072,F,45-49,other
1073,M,18-24,college/grad student
1074,M,35-44,sales/marketing
1075,F,Under18,K-12student
1076,M,35-44,executive/managerial
1077,M,18-24,college/grad student
1078,F,45-49,academic/educator
1079,F,45-49,other
1080,M,56+,academic/educator
1081,F,25-34,other
1082,M,25-34,technician/engineer
1083,F,25-34,artist
1084,M,18-24,college/grad student
1085,M,18-24,college/grad student
1086,F,Under18,K-12student
1087,M,25-34,sales/marketing
1088,F,45-49,academic/educator
1089,F,56+,homemaker
1090,M,56+,retired
1091,M,35-44,executive/managerial
1092,F,18-24,college/grad student
1093,M,25-34,technician/engineer
1094,M,25-34,technician/engineer
1095,M,45-49,other
1096,F,25-34,self-employed
